,Тип кузова
0,Седан
1,Седан
2,Седан
3,Лифтбэк
4,Седан
5,Седан
6,Седан
7,Седан
8,Седан
9,Седан
10,Седан
11,Внедорожник
12,Седан
13,Седан
14,Седан
15,Седан
16,Седан
17,Седан
18,Седан
19,Седан
20,Седан
21,Седан
22,Седан
23,Седан
24,Седан
25,Седан
26,Седан
27,Седан
28,Седан
29,Седан
30,Седан
31,Внедорожник
32,Седан
33,Лифтбэк
34,Седан
35,Седан
36,Седан
37,Седан
38,Седан
39,Седан
40,Седан
41,Седан
42,Лифтбэк
43,Внедорожник
44,Седан
45,Внедорожник
46,Седан
47,Внедорожник
48,Седан
49,Седан
50,Седан
51,Седан
52,Седан
53,Седан
54,Седан
55,Седан
56,Седан
57,Седан
58,Седан
59,Внедорожник
60,Седан
61,Седан
62,Внедорожник
63,Седан
64,Седан
65,Седан
66,Седан
67,Внедорожник
68,Внедорожник
69,Внедорожник
70,Внедорожник
71,Седан
72,Седан
73,Седан
74,Седан
75,Седан
76,Седан
77,Седан
78,Седан
79,Внедорожник
80,Внедорожник
81,Седан
82,Седан
83,Седан
84,Внедорожник
85,Седан
86,Внедорожник
87,Седан
88,Седан
89,Седан
90,Седан
91,Седан
92,Седан
93,Седан
94,Седан
95,Седан
96,Седан
97,Седан
98,Седан
99,Седан
100,Седан
101,Седан
102,Седан
103,Седан
104,Седан
105,Седан
106,Седан
107,Седан
108,Седан
109,Седан
110,Седан
111,Седан
112,Седан
113,Седан
114,Седан
115,Седан
116,Седан
117,Седан
118,Седан
119,Седан
120,Седан
121,Седан
122,Внедорожник
123,Седан
124,Седан
125,Внедорожник
126,Седан
127,Седан
128,Седан
129,Седан
130,Седан
131,Седан
132,Седан
133,Лифтбэк
134,Седан
135,Седан
136,Седан
137,Седан
138,Внедорожник
139,Седан
140,Седан
141,Лифтбэк
142,Седан
143,Седан
144,Внедорожник
145,Седан
146,Седан
147,Седан
148,Седан
149,Седан
150,Седан
151,Седан
152,Седан
153,Седан
154,Седан
155,Седан
156,Седан
157,Седан
158,Седан
159,Седан
160,Внедорожник
161,Седан
162,Седан
163,Седан
164,Седан
165,Седан
166,Седан
167,Седан
168,Седан
169,Седан
170,Внедорожник
171,Седан
172,Седан
173,Седан
174,Седан
175,Седан
176,Седан
177,Седан
178,Седан
179,Седан
180,Лифтбэк
181,Седан
182,Седан
183,Седан
184,Внедорожник
185,Седан
186,Седан
187,Седан
188,Седан
189,Седан
190,Седан
191,Седан
192,Седан
193,Седан
194,Седан
195,Седан
196,Седан
197,Внедорожник
198,Седан
199,Седан
200,Седан
201,Седан
202,Седан
203,Седан
204,Внедорожник
205,Седан
206,Седан
207,Седан
208,Седан
209,Седан
210,Лифтбэк
211,Седан
212,Седан
213,Седан
214,Седан
215,Седан
216,Внедорожник
217,Седан
218,Седан
219,Внедорожник
220,Седан
221,Седан
222,Седан
223,Седан
224,Седан
225,Седан
226,Внедорожник
227,Внедорожник
228,Седан
229,Седан
230,Седан
231,Седан
232,Седан
233,Седан
234,Седан
235,Седан
236,Внедорожник
237,Седан
238,Седан
239,Седан
240,Лифтбэк
241,Внедорожник
242,Седан
243,Седан
244,Седан
245,Седан
246,Седан
247,Седан
248,Седан
249,Седан
250,Седан
251,Седан
252,Седан
253,Седан
254,Седан
255,Седан
256,Седан
257,Седан
258,Внедорожник
259,Седан
260,Седан
261,Седан
262,Внедорожник
263,Седан
264,Седан
265,Седан
266,Седан
267,Седан
268,Седан
269,Седан
270,Седан
271,Седан
272,Седан
273,Седан
274,Седан
275,Внедорожник
276,Седан
277,Седан
278,Внедорожник
279,Седан
280,Седан
281,Седан
282,Седан
283,Внедорожник
284,Седан
285,Седан
286,Седан
287,Седан
288,Седан
289,Седан
290,Седан
291,Седан
292,Седан
293,Седан
294,Седан
295,Седан
296,Внедорожник
297,Седан
298,Седан
299,Седан
300,Седан
301,Седан
302,Внедорожник
303,Седан
304,Седан
305,Седан
306,Седан
307,Седан
308,Седан
309,Седан
310,Седан
311,Седан
312,Седан
313,Седан
314,Седан
315,Седан
316,Седан
317,Седан
318,Седан
319,Седан
320,Седан
321,Внедорожник
322,Внедорожник
323,Внедорожник
324,Лифтбэк
325,Внедорожник
326,Седан
327,Седан
328,Седан
329,Седан
330,Седан
331,Седан
332,Седан
333,Седан
334,Седан
335,Седан
336,Седан
337,Седан
338,Седан
339,Внедорожник
340,Седан
341,Седан
342,Седан
343,Седан
344,Седан
345,Седан
346,Седан
347,Седан
348,Седан
349,Седан
350,Седан
351,Седан
352,Внедорожник
353,Седан
354,Седан
355,Седан
356,Внедорожник
357,Седан
358,Седан
359,Седан
360,Седан
361,Седан
362,Седан
363,Седан
364,Седан
365,Седан
366,Седан
367,Седан
368,Внедорожник
369,Внедорожник
370,Седан
371,Седан
372,Седан
373,Внедорожник
374,Седан
375,Седан
376,Седан
377,Седан
378,Седан
379,Седан
380,Седан
381,Седан
382,Внедорожник
383,Внедорожник
384,Седан
385,Седан
386,Седан
387,Седан
388,Седан
389,Седан
390,Седан
391,Седан
392,Седан
393,Седан
394,Седан
395,Седан
396,Седан
397,Внедорожник
398,Седан
399,Седан
400,Седан
401,Седан
402,Седан
403,Седан
404,Седан
405,Внедорожник
406,Седан
407,Седан
408,Седан
409,Седан
410,Седан
411,Седан
412,Седан
413,Седан
414,Седан
415,Седан
416,Седан
417,Внедорожник
418,Седан
419,Седан
420,Седан
421,Седан
422,Седан
423,Седан
424,Седан
425,Седан
426,Седан
427,Седан
428,Седан
429,Седан
430,Седан
431,Внедорожник
432,Седан
433,Внедорожник
434,Седан
435,Седан
436,Седан
437,Седан
438,Внедорожник
439,Лифтбэк
440,Седан
441,Седан
442,Седан
443,Седан
444,Внедорожник
445,Седан
446,Седан
447,Седан
448,Седан
449,Седан
450,Седан
451,Седан
452,Седан
453,Лифтбэк
454,Седан
455,Седан
456,Внедорожник
457,Седан
458,Седан
459,Седан
460,Седан
461,Внедорожник
462,Седан
463,Седан
464,Седан
465,Седан
466,Седан
467,Седан
468,Седан
469,Седан
470,Седан
471,Седан
472,Седан
473,Седан
474,Седан
475,Седан
476,Седан
477,Седан
478,Седан
479,Седан
480,Внедорожник
481,Внедорожник
482,Внедорожник
483,Седан
484,Седан
485,Седан
486,Седан
487,Седан
488,Внедорожник
489,Седан
490,Седан
491,Седан
492,Седан
493,Седан
494,Седан
495,Седан
496,Седан
497,Внедорожник
498,Седан
499,Седан
500,Седан
501,Седан
502,Седан
503,Седан
504,Седан
505,Седан
506,Седан
507,Внедорожник
508,Седан
509,Седан
510,Внедорожник
511,Седан
512,Седан
513,Седан
514,Внедорожник
515,Седан
516,Седан
517,Седан
518,Седан
519,Седан
520,Седан
521,Седан
522,Седан
523,Седан
524,Седан
525,Седан
526,Седан
527,Седан
528,Седан
529,Седан
530,Седан
531,Седан
532,Седан
533,Внедорожник
534,Седан
535,Седан
536,Седан
537,Седан
538,Седан
539,Седан
540,Седан
541,Седан
542,Седан
543,Седан
544,Седан
545,Седан
546,Седан
547,Седан
548,Седан
549,Седан
550,Седан
551,Седан
552,Седан
553,Седан
554,Седан
555,Седан
556,Седан
557,Седан
558,Седан
559,Седан
560,Седан
561,Седан
562,Седан
563,Седан
564,Седан
565,Седан
566,Седан
567,Седан
568,Седан
569,Седан
570,Седан
571,Седан
572,Седан
573,Седан
574,Седан
575,Седан
576,Седан
577,Седан
578,Седан
579,Седан
580,Седан
581,Седан
582,Седан
583,Седан
584,Седан
585,Седан
586,Седан
587,Седан
588,Седан
589,Внедорожник
590,Седан
591,Внедорожник
592,Седан
593,Внедорожник
594,Седан
595,Седан
596,Седан
597,Седан
598,Внедорожник
599,Седан
600,Седан
601,Седан
602,Седан
603,Седан
604,Внедорожник
605,Седан
606,Седан
607,Седан
608,Седан
609,Внедорожник
610,Седан
611,Седан
612,Седан
613,Седан
614,Внедорожник
615,Седан
616,Седан
617,Седан
618,Внедорожник
619,Седан
620,Седан
621,Седан
622,Внедорожник
623,Седан
624,Седан
625,Лифтбэк
626,Внедорожник
627,Седан
628,Седан
629,Седан
630,Внедорожник
631,Седан
632,Седан
633,Седан
634,Внедорожник
635,Седан
636,Седан
637,Седан
638,Седан
639,Седан
640,Седан
641,Седан
642,Седан
643,Седан
644,Седан
645,Седан
646,Седан
647,Седан
648,Седан
649,Внедорожник
650,Седан
651,Седан
652,Седан
653,Внедорожник
654,Седан
655,Седан
656,Седан
657,Седан
658,Седан
659,Внедорожник
660,Седан
661,Седан
662,Седан
663,Седан
664,Седан
665,Седан
666,Лифтбэк
667,Седан
668,Седан
669,Седан
670,Седан
671,Седан
672,Седан
673,Седан
674,Седан
675,Седан
676,Седан
677,Седан
678,Внедорожник
679,Седан
680,Седан
681,Седан
682,Седан
683,Седан
684,Седан
685,Седан
686,Внедорожник
687,Внедорожник
688,Внедорожник
689,Седан
690,Внедорожник
691,Седан
692,Седан
693,Седан
694,Седан
695,Внедорожник
696,Седан
697,Седан
698,Седан
699,Внедорожник
700,Седан
701,Седан
702,Седан
703,Седан
704,Седан
705,Седан
706,Седан
707,Седан
708,Седан
709,Седан
710,Седан
711,Внедорожник
712,Лифтбэк
713,Внедорожник
714,Седан
715,Седан
716,Седан
717,Седан
718,Седан
719,Седан
720,Седан
721,Седан
722,Внедорожник
723,Седан
724,Седан
725,Седан
726,Седан
727,Седан
728,Лифтбэк
729,Седан
730,Седан
731,Седан
732,Седан
733,Седан
734,Седан
735,Внедорожник
736,Седан
737,Седан
738,Седан
739,Седан
740,Седан
741,Седан
742,Внедорожник
743,Седан
744,Седан
745,Седан
746,Внедорожник
747,Седан
748,Седан
749,Седан
750,Седан
751,Седан
752,Седан
753,Седан
754,Лифтбэк
755,Седан
756,Внедорожник
757,Внедорожник
758,Внедорожник
759,Седан
760,Седан
761,Седан
762,Седан
763,Седан
764,Седан
765,Седан
766,Седан
767,Седан
768,Внедорожник
769,Седан
770,Седан
771,Седан
772,Седан
773,Седан
774,Внедорожник
775,Седан
776,Седан
777,Седан
778,Седан
779,Седан
780,Внедорожник
781,Седан
782,Седан
783,Седан
784,Седан
785,Седан
786,Внедорожник
787,Седан
788,Седан
789,Седан
790,Седан
791,Внедорожник
792,Внедорожник
793,Седан
794,Седан
795,Седан
796,Седан
797,Седан
798,Седан
799,Внедорожник
800,Внедорожник
801,Седан
802,Седан
803,Седан
804,Седан
805,Седан
806,Седан
807,Седан
808,Седан
809,Внедорожник
810,Седан
811,Седан
812,Седан
813,Седан
814,Седан
815,Седан
816,Седан
817,Седан
818,Седан
819,Седан
820,Седан
821,Седан
822,Седан
823,Седан
824,Седан
825,Седан
826,Седан
827,Седан
828,Внедорожник
829,Внедорожник
830,Седан
831,Седан
832,Седан
833,Седан
834,Внедорожник
835,Седан
836,Седан
837,Седан
838,Седан
839,Седан
840,Седан
841,Внедорожник
842,Седан
843,Седан
844,Седан
845,Седан
846,Седан
847,Седан
848,Седан
849,Седан
850,Седан
851,Седан
852,Седан
853,Седан
854,Внедорожник
855,Седан
856,Седан
857,Седан
858,Седан
859,Седан
860,Седан
861,Внедорожник
862,Седан
863,Седан
864,Седан
865,Седан
866,Седан
867,Седан
868,Седан
869,Седан
870,Седан
871,Седан
872,Внедорожник
873,Седан
874,Седан
875,Седан
876,Седан
877,Седан
878,Седан
879,Седан
880,Седан
881,Седан
882,Седан
883,Седан
884,Седан
885,Седан
886,Седан
887,Седан
888,Внедорожник
889,Внедорожник
890,Седан
891,Седан
892,Седан
893,Внедорожник
894,Лифтбэк
895,Седан
896,Седан
897,Седан
898,Лифтбэк
899,Седан
900,Седан
901,Седан
902,Седан
903,Седан
904,Седан
905,Седан
906,Седан
907,Седан
908,Внедорожник
909,Внедорожник
910,Внедорожник
911,Внедорожник
912,Внедорожник
913,Внедорожник
914,Внедорожник
915,Внедорожник
916,Внедорожник
917,Внедорожник
918,Внедорожник
919,Внедорожник
920,Внедорожник
921,Внедорожник
922,Внедорожник
923,Внедорожник
924,Внедорожник
925,Внедорожник
926,Внедорожник
927,Внедорожник
928,Внедорожник
929,Внедорожник
930,Внедорожник
931,Внедорожник
932,Внедорожник
933,Внедорожник
934,Внедорожник
935,Внедорожник
936,Внедорожник
937,Внедорожник
938,Внедорожник
939,Внедорожник
940,Внедорожник
941,Внедорожник
942,Внедорожник
943,Внедорожник
944,Внедорожник
945,Внедорожник
946,Внедорожник
947,Внедорожник
948,Внедорожник
949,Внедорожник
950,Внедорожник
951,Внедорожник
952,Внедорожник
953,Внедорожник
954,Внедорожник
955,Внедорожник
956,Внедорожник
957,Внедорожник
958,Внедорожник
959,Внедорожник
960,Внедорожник
961,Внедорожник
962,Внедорожник
963,Внедорожник
964,Внедорожник
965,Внедорожник
966,Внедорожник
967,Внедорожник
968,Внедорожник
969,Внедорожник
970,Внедорожник
971,Внедорожник
972,Внедорожник
973,Внедорожник
974,Внедорожник
975,Внедорожник
976,Внедорожник
977,Внедорожник
978,Внедорожник
979,Внедорожник
980,Внедорожник
981,Внедорожник
982,Внедорожник
983,Внедорожник
984,Внедорожник
985,Внедорожник
986,Внедорожник
987,Внедорожник
988,Внедорожник
989,Внедорожник
990,Внедорожник
991,Внедорожник
992,Внедорожник
993,Внедорожник
994,Внедорожник
995,Внедорожник
996,Внедорожник
997,Внедорожник
998,Внедорожник
999,Внедорожник
1000,Внедорожник
1001,Внедорожник
1002,Внедорожник
1003,Внедорожник
1004,Внедорожник
1005,Внедорожник
1006,Внедорожник
1007,Внедорожник
1008,Внедорожник
1009,Внедорожник
1010,Внедорожник
1011,Внедорожник
1012,Внедорожник
1013,Внедорожник
1014,Внедорожник
1015,Внедорожник
1016,Внедорожник
1017,Внедорожник
1018,Внедорожник
1019,Внедорожник
1020,Внедорожник
1021,Внедорожник
1022,Внедорожник
1023,Внедорожник
1024,Внедорожник
1025,Внедорожник
1026,Внедорожник
1027,Внедорожник
1028,Внедорожник
1029,Внедорожник
1030,Внедорожник
1031,Внедорожник
1032,Внедорожник
1033,Внедорожник
1034,Внедорожник
1035,Внедорожник
1036,Внедорожник
1037,Внедорожник
1038,Внедорожник
1039,Внедорожник
1040,Внедорожник
1041,Внедорожник
1042,Внедорожник
1043,Внедорожник
1044,Внедорожник
1045,Внедорожник
1046,Внедорожник
1047,Внедорожник
1048,Внедорожник
1049,Внедорожник
1050,Внедорожник
1051,Внедорожник
1052,Внедорожник
1053,Внедорожник
1054,Внедорожник
1055,Внедорожник
1056,Внедорожник
1057,Внедорожник
1058,Внедорожник
1059,Внедорожник
1060,Внедорожник
1061,Внедорожник
1062,Внедорожник
1063,Внедорожник
1064,Внедорожник
1065,Внедорожник
1066,Внедорожник
1067,Внедорожник
1068,Внедорожник
1069,Внедорожник
1070,Внедорожник
1071,Внедорожник
1072,Внедорожник
1073,Внедорожник
1074,Внедорожник
1075,Внедорожник
1076,Внедорожник
1077,Внедорожник
1078,Внедорожник
1079,Внедорожник
1080,Внедорожник
1081,Внедорожник
1082,Внедорожник
1083,Внедорожник
1084,Внедорожник
1085,Внедорожник
1086,Внедорожник
1087,Внедорожник
1088,Внедорожник
1089,Внедорожник
1090,Внедорожник
1091,Внедорожник
1092,Внедорожник
1093,Внедорожник
1094,Внедорожник
1095,Внедорожник
1096,Внедорожник
1097,Внедорожник
1098,Внедорожник
1099,Внедорожник
1100,Внедорожник
1101,Внедорожник
1102,Внедорожник
1103,Внедорожник
1104,Внедорожник
1105,Внедорожник
1106,Внедорожник
1107,Внедорожник
1108,Внедорожник
1109,Внедорожник
1110,Внедорожник
1111,Внедорожник
1112,Внедорожник
1113,Внедорожник
1114,Внедорожник
1115,Внедорожник
1116,Внедорожник
1117,Внедорожник
1118,Внедорожник
1119,Внедорожник
1120,Внедорожник
1121,Внедорожник
1122,Внедорожник
1123,Внедорожник
1124,Внедорожник
1125,Внедорожник
1126,Внедорожник
1127,Внедорожник
1128,Внедорожник
1129,Внедорожник
1130,Внедорожник
1131,Внедорожник
1132,Внедорожник
1133,Внедорожник
1134,Внедорожник
1135,Внедорожник
1136,Внедорожник
1137,Внедорожник
1138,Внедорожник
1139,Внедорожник
1140,Внедорожник
1141,Внедорожник
1142,Внедорожник
1143,Внедорожник
1144,Внедорожник
1145,Внедорожник
1146,Внедорожник
1147,Внедорожник
1148,Внедорожник
1149,Внедорожник
1150,Внедорожник
1151,Внедорожник
1152,Внедорожник
1153,Внедорожник
1154,Внедорожник
1155,Внедорожник
1156,Внедорожник
1157,Внедорожник
1158,Внедорожник
1159,Внедорожник
1160,Внедорожник
1161,Внедорожник
1162,Внедорожник
1163,Внедорожник
1164,Внедорожник
1165,Внедорожник
1166,Внедорожник
1167,Внедорожник
1168,Внедорожник
1169,Внедорожник
1170,Внедорожник
1171,Внедорожник
1172,Внедорожник
1173,Внедорожник
1174,Внедорожник
1175,Внедорожник
1176,Внедорожник
1177,Внедорожник
1178,Внедорожник
1179,Внедорожник
1180,Внедорожник
1181,Внедорожник
1182,Внедорожник
1183,Внедорожник
1184,Внедорожник
1185,Внедорожник
1186,Внедорожник
1187,Внедорожник
1188,Внедорожник
1189,Внедорожник
1190,Внедорожник
1191,Внедорожник
1192,Внедорожник
1193,Внедорожник
1194,Внедорожник
1195,Внедорожник
1196,Внедорожник
1197,Внедорожник
1198,Внедорожник
1199,Внедорожник
1200,Внедорожник
1201,Внедорожник
1202,Внедорожник
1203,Внедорожник
1204,Внедорожник
1205,Внедорожник
1206,Внедорожник
1207,Внедорожник
1208,Внедорожник
1209,Внедорожник
1210,Внедорожник
1211,Внедорожник
1212,Внедорожник
1213,Внедорожник
1214,Внедорожник
1215,Внедорожник
1216,Внедорожник
1217,Внедорожник
1218,Внедорожник
1219,Внедорожник
1220,Внедорожник
1221,Внедорожник
1222,Внедорожник
1223,Внедорожник
1224,Внедорожник
1225,Внедорожник
1226,Внедорожник
1227,Внедорожник
1228,Внедорожник
1229,Внедорожник
1230,Внедорожник
1231,Внедорожник
1232,Внедорожник
1233,Внедорожник
1234,Внедорожник
1235,Внедорожник
1236,Внедорожник
1237,Внедорожник
1238,Внедорожник
1239,Внедорожник
1240,Внедорожник
